block,cuetype,cuetype_string,trialtype,trialtype_string,correct_key
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
,0,incg,2,right_incg,left
